These;Label;CDU/CSU;SPD;Gruene;Linke;AfD;FDP;Freie.Waehler;Piraten;Tierschutzpartei;NPD;FamilienPartei;ÖDP
1. Es sollen EU-weite verbindliche Bürgerentscheide eingeführt werden.;EU-Bürgerentscheide einführen;1;3;3;3;1;2;3;3;3;1;3;3
2. Die EU soll sich höhere Ziele zur Reduzierung des CO2-Ausstoßes setzen.;Höhere Ziele CO2-Reduktion;2;3;3;3;1;1;3;3;3;1;2;3
3. Die EU-Mitgliedsstaaten sollen eine gemeinsame Armee aufbauen.;europäische Armee aufbauen;3;3;1;1;1;3;3;1;2;1;3;1
4. Die Europäische Union soll vorrangig Bio-Landwirtschaft fördern.;Bio-Landwirtschaft fördern;2;3;3;3;1;1;2;3;3;3;2;3
5. Deutschland soll an Stelle des Euro wieder eine nationale Währung einführen.;Euro abschaffen;1;1;1;1;3;1;1;1;1;3;1;1
6. Die EU soll private Seenotrettungsinitiativen im Mittelmeer unterstützen.;private Seenotrettung unterstützen;1;3;3;3;1;2;1;3;3;1;3;3
7. Auf den Handel mit Finanzprodukten (z.B. Aktien) soll eine Steuer erhoben werden.;Finanz-Transaktions-Steuer einführen;3;3;3;3;2;1;3;3;3;3;3;3
8. Der Anbau von gentechnisch veränderten Pflanzen soll in der EU erlaubt sein.;Gentechnik (bei Pflanzen) erlauben;2;1;1;1;3;3;1;1;1;1;1;1
9. EU-Bürgerinnen und -Bürger, die in ein anderes EU-Land ziehen, sollen dort nur eingeschränkt Sozialleistungen erhalten.;Sozialleistungen im EU-Ausland kürzen;3;1;1;1;3;3;3;1;1;3;3;2
10. EU-Bürgerinnen und -Bürger sollen bei der Europawahl ihre Stimme auch für Parteien aus anderen Mitgliedsstaaten abgeben dürfen.;transnationale Listen bei Europawahl;1;3;3;1;1;3;1;3;3;1;1;1
11. Die EU soll mehr Geld für die Entwicklungshilfe bereitstellen.;Mehr Entwicklungshilfe;3;3;3;3;1;2;3;3;3;1;3;3
12. Die EU-Mitgliedsstaaten sollen weiterhin Daten von Fluggästen speichern müssen.;Fluggäste Daten weiterhin speichern;3;2;1;1;2;1;3;1;2;3;3;1
13. Die EU soll sich für die Einführung eines nationalen Mindestlohns in allen Mitgliedsstaaten einsetzen.;nationaler Mindestlohn in allen Ländern;1;3;3;3;1;1;1;3;3;1;3;3
14. Die EU soll am Flüchtlingsabkommen mit der Türkei festhalten.;Flüchtlingsdeal mit Türkei beibehalten;3;1;1;1;1;3;3;1;1;1;1;2
15. In der EU soll es für Aufsichtsräte von Unternehmen eine verbindliche Frauenquote geben.;Frauenquote in Aufsichtsräten festlegen;2;3;3;3;1;1;1;1;3;1;2;1
16. Deutschland soll aus der Europäischen Union austreten.;Dexit (Deutschland soll EU verlassen);1;1;1;1;2;1;1;1;1;3;1;1
17. In anderen EU-Staaten sollen weiterhin Atomkraftwerke betrieben werden dürfen.;Atomkraft weiterhin erlauben;2;1;1;1;3;3;1;1;1;2;1;1
18. Die Europäische Union soll Zuwanderung von Fachkräften aus Nicht-EU-Ländern fördern.;Zuwanderung Fachkräfte aus Nicht-EU fördern;3;3;3;2;1;3;3;3;2;1;1;2
19. Die EU soll Mitgliedsstaaten finanziell bestrafen, die die Presse- und Medienfreiheit verletzen.;Presse- und Medienfreiheit;3;3;3;3;1;3;3;3;3;1;3;3
20. Die finanziellen Hilfen für wirtschaftlich schwächere Regionen in der EU sollen reduziert werden.;Wirtschaftshihlfe innerhalb der EU reduzieren;1;1;1;1;3;2;1;1;1;3;1;1
21. In der medizinischen Forschung sollen Tierversuche weiterhin erlaubt sein.;medizinische Tierversuche weiterhin erlauben;3;3;1;2;3;3;1;3;1;1;2;1
22. Die europäische Polizeibehörde Europol soll weitere Kompetenzen erhalten.;Europäische Polizei stärken;3;3;3;1;1;3;3;1;2;3;3;3
23. Für die Besteuerung von Unternehmen soll es einen EU-weiten Mindestsatz geben.;EU-weit Mindeststeuersatz für Unternehmen;2;3;3;3;1;1;1;3;3;1;3;3
24. Die EU soll sich dafür einsetzen, dass alle Mitgliedsstaaten die gleichgeschlechtliche Ehe einführen.;Einführung Gleichgeschlechtliche Ehe fördern;2;3;3;3;1;2;2;3;3;1;1;2
25. Mitgliedsstaaten, die die EU-Regeln zur Begrenzung der Staatsverschuldung verletzen, sollen konsequent bestraft werden.;Staatsverschuldung konsequent bestrafen;3;2;2;1;3;3;3;1;2;1;3;3
26. In allen Mitgliedsstaaten soll eine Lkw-Maut auf Fernstraßen eingeführt werden.;Lkw-Maut auf Fernstraßen einführen;1;3;3;3;1;1;3;1;2;1;3;3
27. Die Europäische Union soll sich als christliche Wertegemeinschaft verstehen.;EU als christliche Wertegemeinschaft verstehen;3;1;1;1;3;1;3;1;1;3;3;2
28. Alle Banken sollen verstaatlicht werden.;Alle Banken verstaatlichen;1;1;1;3;1;1;1;1;2;1;1;1
29. Alle Asylsuchenden, die versuchen über das Mittelmeer in die EU zu gelangen, sollen in ihre Heimatländer zurückgeführt werden.;"""Mittelmeer-Route"" schließen";2;1;1;1;3;1;3;1;1;3;1;1
